date,sales,customers,category,region,promotion,satisfaction,sales_per_customer,sales_zscore,rolling_avg_sales,sales_momentum,peak_sales,year,month,day_of_week,is_weekend,sales_MA,sales_volatility
2023-01-01,1049.6714153011233,24,B,South,1,2.199717589892265,43.73630897088014,0.4877585717129754,,,1245.5300139910894,2023,1,6,1,,
2023-01-02,986.1735698828816,32,D,North,0,2.897234659473721,30.81792405884005,-0.1610219035170581,,-0.06049306906202245,1244.5751979616825,2023,1,0,0,,
2023-01-03,1064.7688538100692,18,D,South,0,1.6720802087707143,59.153825211670515,0.6420145667955468,,0.07969721185746415,1244.5751979616825,2023,1,1,0,,
2023-01-04,1152.3029856408025,33,A,West,0,2.4191891586255547,34.91827229214553,1.5363824823355083,,0.08220951572494761,1385.2731490654721,2023,1,2,0,,
2023-01-05,976.5846625276664,34,C,North,1,2.599932073174274,28.72307830963725,-0.25899524150792563,,-0.15249315961410803,1307.8880808455237,2023,1,3,0,,
2023-01-06,976.586304305082,27,D,East,0,1.2295673747530942,36.16986312241044,-0.25897846687368614,,1.6811419210061018e-06,1244.5751979616825,2023,1,4,0,,
2023-01-07,1157.9212815507392,31,D,West,0,3.333228992736818,37.352299404862556,1.5937866456803096,1052.0012961454806,0.18568249057587516,1244.5751979616825,2023,1,5,1,,
2023-01-08,1076.7434729152908,29,D,West,1,4.5373737118851505,37.12908527294106,0.7643635854529961,1055.8687329475044,-0.07010650026807652,1244.5751979616825,2023,1,6,1,,
2023-01-09,953.0525614065048,30,D,East,0,1.6069716518122097,31.768418713550158,-0.4994312381624278,1051.1371603080222,-0.11487500469716527,1244.5751979616825,2023,1,0,0,,
2023-01-10,1054.2560043585966,21,B,West,1,3.391232053606056,50.202666874218885,0.5346009779056656,1049.6353246720976,0.10618873192338607,1245.5300139910894,2023,1,1,0,,
2023-01-11,953.6582307187538,26,D,South,0,3.658956819643385,36.67916271995207,-0.49324289552426526,1021.2575025403763,-0.0954206314443008,1244.5751979616825,2023,1,2,0,,
2023-01-12,953.4270246429743,37,B,East,0,2.6773387216771534,25.76829796332363,-0.49560521170573985,1017.9492685568488,-0.00024244123138872364,1245.5300139910894,2023,1,3,0,,
2023-01-13,1024.1962271566035,24,D,West,1,3.80439034945708,42.67484279819181,0.22746935147074157,1024.7506861070663,0.07422613444393389,1244.5751979616825,2023,1,4,0,,
2023-01-14,808.6719755342202,33,C,East,1,2.642926173964048,24.505211379824857,-1.974619955184651,974.8579281047062,-0.210432577183697,1307.8880808455237,2023,1,5,1,,
2023-01-15,827.5082167486967,31,A,East,1,3.0185491519097396,26.693813443506343,-1.7821632592734409,939.2528915094787,0.023292808189665504,1385.2731490654721,2023,1,6,1,,
2023-01-16,943.7712470759027,25,C,East,1,1.029412178217708,37.75084988303611,-0.5942617868606591,937.9269894622496,0.14049773521767173,1307.8880808455237,2023,1,0,0,,
2023-01-17,898.7168879665576,20,D,North,1,3.7668804565387553,44.93584439832788,-1.0545984852417383,915.7071156919584,-0.04773864349961665,1244.5751979616825,2023,1,1,0,,
2023-01-18,1031.4247332595273,26,D,West,1,3.6453707157788977,39.67018204844336,0.30132561531352764,926.816616054926,0.14766368260113083,1244.5751979616825,2023,1,2,0,,
2023-01-19,909.197592447879,37,D,North,0,1.1536035093053782,24.57290790399673,-0.9475133331495728,920.498125741341,-0.11850320907603595,1244.5751979616825,2023,1,3,0,,
2023-01-20,858.7696298664708,34,C,West,0,2.4730004295805323,25.25793029019032,-1.4627540836498951,896.8657546998935,-0.05546425001592703,1307.8880808455237,2023,1,4,0,,
2023-01-21,1146.5648768921553,27,D,South,1,4.9161273631666695,42.465365810820565,1.4777541478408793,945.1361691795985,0.33512508712078404,1244.5751979616825,2023,1,5,1,,
2023-01-22,977.4223699513465,37,C,South,0,2.682946250274467,26.41682080949585,-0.25043608147880847,966.5524767799769,-0.1475210957091948,1307.8880808455237,2023,1,6,1,,
2023-01-23,1006.7528204687924,29,B,South,1,3.007781620527367,34.71561449892388,0.04924375017659556,975.5498444075326,0.03000795911690246,1245.5300139910894,2023,1,0,0,,
2023-01-24,857.5251813786543,30,A,West,0,4.639720632638874,28.58417271262181,-1.4754690643867523,969.665314894975,-0.14822669085809015,1385.2731490654721,2023,1,1,0,,
2023-01-25,945.5617275474817,38,A,East,1,3.8690475034630256,24.883203356512677,-0.5759677996617262,957.3991712218257,0.10266351132370244,1385.2731490654721,2023,1,2,0,,
2023-01-26,1011.0922589709866,26,C,East,0,3.3282805244968943,38.88816380657641,0.09358136439234113,971.9555521536982,0.0693032823922266,1307.8880808455237,2023,1,3,0,,
2023-01-27,884.9006422577697,39,B,North,0,4.1912187253642905,22.689760057891533,-1.1957640696454443,975.6885539238838,-0.12480722267782485,1245.5300139910894,2023,1,4,0,,
2023-01-28,1037.5698018345672,32,C,North,0,4.457465065823893,32.424056307330225,0.36411200568906926,960.1178289156569,0.17252689430450796,1307.8880808455237,2023,1,5,1,,
2023-01-29,939.9361310081194,34,B,South,0,2.8275522869490675,27.64518032376822,-0.6334465561804691,954.7626519237674,-0.09409841212978431,1245.5300139910894,2023,1,6,1,,
2023-01-30,970.8306250206723,24,D,North,0,2.9004334597273416,40.451276042528015,-0.3177863258933909,949.6309097168931,0.03286871628119803,1244.5751979616825,2023,1,0,0,981.1853104148962,90.00064274024115
2023-01-31,939.8293387770603,47,B,West,1,2.544203742607343,19.99636891015022,-0.6345376910679765,961.388646488094,-0.03193274444031047,1245.5300139910894,2023,1,1,0,977.5239078640941,89.35036593416193
2023-02-01,1185.2278184508937,37,B,West,1,4.866824560073843,32.03318428245659,1.872787419175519,995.6266594742956,0.26110961804315935,1245.5300139910894,2023,2,2,0,984.1590494830278,97.07204817599559
2023-02-02,998.6502775262067,26,B,North,1,3.7886650171614016,38.409626058700255,-0.03354286449099998,993.8492335536127,-0.1574191375026499,1245.5300139910894,2023,2,3,0,981.9550969402324,95.92253097442213
2023-02-03,894.2289071044099,29,A,North,0,1.3328922648322892,30.83547955532448,-1.100453810527011,995.1818428174186,-0.10456250077901419,1385.2731490654721,2023,2,4,0,973.352627655686,91.59322241381525
2023-02-04,1082.254491210319,28,B,North,1,4.451838493252074,38.65194611465425,0.8206716545677734,1001.5653698710973,0.21026560717518294,1245.5300139910894,2023,2,5,1,976.8749552784411,93.72873541862243
2023-02-05,877.9156350028977,24,D,North,0,2.9222397633450723,36.57981812512074,-1.2671324176020071,992.7052990132086,-0.18880850841182717,1244.5751979616825,2023,2,6,1,973.5859329683683,95.45454472830984
2023-02-06,1020.8863595004756,46,D,South,0,1.2750156256899499,22.19318172827121,0.19365123533235828,999.8561182246088,0.1628524641745399,1244.5751979616825,2023,2,0,0,969.0181022333595,89.41715303579998
2023-02-07,804.0329876120225,33,D,South,0,3.198869020653244,24.364635988243105,-2.0220181742726524,980.4566394867464,-0.21241675909408808,1244.5751979616825,2023,2,1,0,959.9277527232506,91.91519505639154
2023-02-08,867.1813951101569,35,B,North,1,2.6686571159028083,24.776611288861627,-1.3768080327819339,935.0214361523555,0.07853957296663316,1245.5300139910894,2023,2,2,0,957.0653805133724,93.46076306354783
2023-02-09,1019.6861235869123,25,C,West,0,4.5109976194504995,40.787444943476494,0.18138799047324994,938.0265570181706,0.17586254656372424,1307.8880808455237,2023,2,3,0,955.9130511543161,92.42854032865799
2023-02-10,1073.846657999541,24,C,South,1,1.8159784144375495,44.74361074998088,0.7347657787035781,963.6862357174749,0.05311490777388461,1307.8880808455237,2023,2,4,0,959.9193320636757,94.89917694455973
2023-02-11,1017.1368281189971,27,D,West,1,4.305858437968732,37.67173437477767,0.15534091573737713,954.3837124187147,-0.05280998870563902,1244.5751979616825,2023,2,5,1,962.0429921795431,95.46007534990106
2023-02-12,988.435171761176,29,A,East,0,3.230754764741811,34.08397144004055,-0.13791429834216717,970.1722176698973,-0.028218087836716532,1385.2731490654721,2023,2,6,1,960.8509569996957,94.87869708889644
2023-02-13,969.8896304410712,32,C,West,0,1.2184412128538762,30.309050951283474,-0.3274008081883621,962.8869706614112,-0.018762526718935635,1307.8880808455237,2023,2,0,0,966.224878829924,90.42313020764229
2023-02-14,852.1478009632573,24,B,North,1,4.8873812053019385,35.506158373469056,-1.5304117069034342,969.760515425873,-0.1213971422957364,1245.5300139910894,2023,2,1,0,967.0461983037426,89.22365586376986
2023-02-15,928.0155791605291,33,C,East,1,3.0504609764127997,28.12168421698573,-0.7552431500923332,978.4511131473548,0.08903124330252554,1307.8880808455237,2023,2,2,0,966.5210093732302,89.41155394344369
2023-02-16,953.9361229040212,36,D,South,1,2.16350741692633,26.498225636222813,-0.4904035704600368,969.0582559069419,0.02793115150818859,1244.5751979616825,2023,2,3,0,968.3616505378124,88.53164154203002
2023-02-17,1105.7122226218917,31,A,South,1,2.8776273679570323,35.66813621360941,1.0603477889747923,973.6104794244205,0.15910509736839185,1385.2731490654721,2023,2,4,0,970.8379001832244,91.35039926869206
2023-02-18,1034.3618289568462,25,C,East,1,4.431431134069956,41.37447315827385,0.33133498539138584,976.0711938298274,-0.06452890020140833,1307.8880808455237,2023,2,5,1,975.0100414001901,91.29632070786998
2023-02-19,823.6959844637266,26,C,West,1,2.219612497540254,31.68061478706641,-1.821114216699464,952.5370242159062,-0.2036674581326885,1307.8880808455237,2023,2,6,1,973.8409198867652,93.04404449593446
2023-02-20,1032.4083969394794,30,D,South,0,1.7707055859468013,34.41361323131598,0.31137606325459277,961.4682765728218,0.2533852494274773,1244.5751979616825,2023,2,0,0,970.0357038883428,87.9303851310527
2023-02-21,961.4917719583683,16,A,North,1,1.5162849877235258,60.09323574739802,-0.4132047686445909,977.0888438578376,-0.06869047674480344,1385.2731490654721,2023,2,1,0,969.5046839552434,87.93234129476257
2023-02-22,932.3077999694042,29,A,East,1,2.191437593560845,32.14854482653118,-0.7113879761437977,977.7020182591053,-0.030352804714617765,1385.2731490654721,2023,2,2,0,967.0231832719305,87.89536331128585
2023-02-23,1061.1676288840868,27,D,North,1,4.120192348160174,39.30250477348469,0.6052195479488451,993.0208048276862,0.13821597214880255,1244.5751979616825,2023,2,3,0,973.811264855445,87.00639582723751
2023-02-24,1103.0999522495952,16,B,East,1,2.8865054607810468,68.9437470155997,1.0336572768415888,992.6476233459296,0.03951526811047179,1245.5300139910894,2023,2,4,0,979.062539012182,89.94702012515266
2023-02-25,1093.1280119116198,32,C,South,0,1.90992641477416,34.16025037223812,0.9317703521936127,1001.0427923394685,-0.009039924548667866,1307.8880808455237,2023,2,5,1,981.7970641102032,92.17379139322026
2023-02-26,916.0782476777362,29,B,West,0,1.6647399984389968,31.58890509233573,-0.8772111876119173,1014.2402585128985,-0.16196617624340803,1245.5300139910894,2023,2,6,1,982.8363176242019,91.21438777988438
2023-02-27,969.0787624148785,30,C,East,1,2.3309179060415164,32.30262541382928,-0.3356857403764863,1005.193167866527,0.057855881712614465,1307.8880808455237,2023,2,0,0,980.5532829768791,90.6526185443013
2023-02-28,1033.1263431403563,23,C,East,1,4.759697491542836,44.91853665827636,0.31871157951229395,1015.4266780353825,0.06609120250027511,1307.8880808455237,2023,2,1,0,983.6596233812869,90.80933290158144
2023-03-01,1097.554512712236,27,B,North,1,2.3721068503600975,40.65016713749022,0.9769975134321397,1039.0333512843583,0.062362333512897994,1245.5300139910894,2023,3,2,0,987.8837529710057,93.11021978277945
2023-03-02,952.082576215471,25,D,South,0,4.952496303818542,38.08330304861884,-0.5093419280300903,1023.4497723316989,-0.1325418781589992,1244.5751979616825,2023,3,3,0,988.2921942189528,92.91883195376236
2023-03-03,981.4341023336183,47,D,North,0,2.9409218230614247,20.881576645396134,-0.20944675933216586,1006.0689366294165,0.030828760919897835,1244.5751979616825,2023,3,4,0,981.4990703483769,85.14943618436622
2023-03-04,889.3665025993972,33,C,South,0,1.7166556731606035,26.95050007876961,-1.1501347577267806,976.9601495848134,-0.09380925272038754,1307.8880808455237,2023,3,5,1,977.8562778508167,86.71366197292838
